,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention,ratio
27,gatsby,https://github.com/gatsbyjs/gatsby,JavaScript,MIT License,48517,69,0,3896,3,80.8,5,2122,1788,1.6,982574,0.8880899999999999,angular,0.79
35,ant-design,https://github.com/ant-design/ant-design,TypeScript,MIT License,65911,69,0,1519,6,53.2,76,2488,1936,2.6,34898,0.8770899999999999,angular,0.96
38,angular,https://github.com/angular/angular,TypeScript,MIT License,69347,77,0,1441,4,55.9,95,2775,1935,2.2,69620,0.87075,angular,0.98
50,electron,https://github.com/electron/electron,C++,MIT License,88517,95,0,1146,6,29.5,157,1976,1455,2.1,48992,0.86345,angular,0.74
86,jest,https://github.com/facebook/jest,TypeScript,MIT License,33723,86,0,1270,5,13.5,34,750,460,2.2,55397,0.8325600000000001,angular,0.76
96,erpnext,https://github.com/frappe/erpnext,Python,GNU General Public License v3.0,7426,117,0,426,7,50.1,44,987,709,0.6,83126,0.82821,angular,0.65
98,cypress,https://github.com/cypress-io/cypress,JavaScript,MIT License,26276,80,0,247,6,27.6,31,1879,1163,2.3,86977,0.8269299999999999,angular,0.81
100,edx-platform,https://github.com/edx/edx-platform,Python,GNU Affero General Public License v3.0,5368,111,0,960,3,51.1,253,883,773,3.5,13245,0.82644,angular,0.51
112,frappe,https://github.com/frappe/frappe,Python,MIT License,2019,117,0,419,6,72.6,43,618,493,1.2,38421,0.8213600000000001,angular,0.66
133,angular-cli,https://github.com/angular/angular-cli,TypeScript,MIT License,24063,70,0,534,7,34.6,105,1187,1074,1.7,17315,0.81404,angular,0.99
147,serverless,https://github.com/serverless/serverless,JavaScript,MIT License,38454,70,0,955,12,21.6,64,584,364,2.4,4073,0.8094399999999999,angular,1.0
148,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,JavaScript,"BSD 3-Clause ""New"" or ""Revised"" License",318328,87,0,4551,4,26.3,0,976,770,2.5,28410,0.80829,angular,0.97
220,vue-cli,https://github.com/vuejs/vue-cli,JavaScript,MIT License,27082,61,0,421,10,7.9,24,481,348,1.8,14487,0.77915,angular,0.78
222,aws-cdk,https://github.com/aws/aws-cdk,TypeScript,Apache License 2.0,6021,40,0,583,5,50.1,75,2374,1508,3.1,1724,0.77853,angular,0.89
254,sentry,https://github.com/getsentry/sentry,Python,Other,26961,154,0,565,2,107.8,14,22582,22284,0.1,16228,0.77036,angular,0.54
261,NodeBB,https://github.com/NodeBB/NodeBB,JavaScript,GNU General Public License v3.0,11606,94,0,223,5,42.1,97,524,495,1.2,19745,0.7689600000000001,angular,0.8
268,netlify-cms,https://github.com/netlify/netlify-cms,JavaScript,MIT License,13190,73,0,402,7,14.3,9,514,381,1.1,40767,0.76689,angular,0.98
282,deno,https://github.com/denoland/deno,TypeScript,MIT License,70942,32,0,545,6,44.9,52,1523,1111,2.1,2173,0.7641899999999999,angular,0.83
283,fastify,https://github.com/fastify/fastify,JavaScript,Other,16872,52,0,337,8,8.2,35,203,168,3.5,10185,0.76413,angular,0.51
304,components,https://github.com/angular/components,TypeScript,MIT License,20781,61,1,537,4,28.2,48,1391,896,1.4,15744,0.76057,angular,0.95
313,vuetify,https://github.com/vuetifyjs/vuetify,TypeScript,MIT License,29042,53,0,632,5,38.2,72,1205,704,1.2,3269,0.7581100000000001,angular,0.98
326,renovate,https://github.com/renovatebot/renovate,TypeScript,GNU Affero General Public License v3.0,4231,49,0,333,10,44.6,1131,7434,7166,0.3,1335,0.75585,angular,0.98
