,precision,recall,f1
webiny-js,0.71,0.71,0.69
gatsby,0.69,0.67,0.67
ant-design,0.79,0.79,0.78
angular,0.73,0.7,0.69
electron,0.78,0.78,0.77
angular-cli,0.71,0.65,0.64
serverless,0.75,0.75,0.75
vue-cli,0.73,0.73,0.72
deno,0.68,0.65,0.63
components,0.76,0.7,0.67
vuetify,0.78,0.77,0.77
renovate,0.64,0.62,0.59
titanium_mobile,0.75,0.74,0.72
sequelize,0.68,0.68,0.66
goreleaser,0.75,0.72,0.72
chakra-ui,0.57,0.5,0.46
zeebe,0.74,0.78,0.71
rest.js,0.69,0.62,0.65
element3,0.58,0.57,0.55
stencil,0.61,0.61,0.58
rules_nodejs,0.72,0.71,0.71
material-components-web,0.47,0.53,0.48
verdaccio,0.66,0.57,0.55
ng-bootstrap,0.63,0.48,0.45
axe-core,0.72,0.7,0.68
RSSHub,0.83,0.82,0.82
instantsearch.js,0.59,0.62,0.6
commitlint,0.63,0.63,0.57
ionic-framework,0.78,0.78,0.78
ant-design-vue,0.66,0.57,0.52
js-ipfs,0.74,0.69,0.7
node-mongodb-native,0.67,0.64,0.63
hyper,0.66,0.6,0.61
camunda-bpm-platform,0.69,0.67,0.68
angular.js,0.79,0.77,0.75
pnpm,0.72,0.65,0.67
vue-test-utils,0.74,0.69,0.69
vee-validate,0.77,0.77,0.76
vite,0.67,0.67,0.66
loopback-next,0.85,0.84,0.83
vant,0.83,0.81,0.81
aks-engine,0.76,0.75,0.75
pgjdbc,0.63,0.68,0.64
influxdb,0.61,0.59,0.57
carbon,0.86,0.87,0.86
taro,0.65,0.61,0.61
webpack-dev-server,0.65,0.62,0.62
karma,0.66,0.56,0.55
material,0.67,0.68,0.64
rxjs,0.64,0.64,0.63
electron-builder,0.66,0.65,0.63
fxa,0.63,0.64,0.6
reaction,0.59,0.57,0.57
superset,0.72,0.68,0.67
jina,0.67,0.65,0.65
Semantic-UI-React,0.73,0.71,0.71
super-productivity,0.64,0.68,0.65
G2,0.64,0.6,0.56
serenity-js,0.61,0.61,0.57
lerna,0.69,0.67,0.65
pact_broker,0.69,0.64,0.62
stryker,0.54,0.54,0.5
