,name,precision,recall,fscore,fix,docs,refactor,feat,test,chore
0,sequelize,0.68,0.68,0.66,144,111,44,34,24,6.0
1,ionic-framework,0.78,0.78,0.78,1000,240,65,176,126,338.0
2,element3,0.58,0.57,0.55,72,3,100,9,24,122.0
3,vite,0.67,0.67,0.66,218,75,25,50,11,80.0
4,vee-validate,0.77,0.77,0.76,56,101,19,62,9,159.0
5,stencil,0.61,0.61,0.58,459,34,37,184,83,316.0
6,pgjdbc,0.63,0.68,0.64,65,12,5,13,19,37.0
7,ant-design,0.79,0.79,0.78,381,417,60,132,75,177.0
8,rest.js,0.69,0.62,0.65,52,92,15,37,43,1.0
9,gatsby,0.69,0.67,0.67,715,113,35,229,20,975.0
10,instantsearch.js,0.59,0.62,0.6,187,31,30,157,24,167.0
11,commitlint,0.63,0.63,0.57,37,44,24,15,31,63.0
12,aks-engine,0.76,0.75,0.75,102,41,11,118,87,187.0
13,angular,0.73,0.7,0.69,1216,1232,854,384,355,1.0
14,angular.js,0.79,0.77,0.75,383,719,126,131,93,352.0
15,vue-test-utils,0.74,0.69,0.69,55,98,9,28,9,61.0
16,material-components-web,0.47,0.53,0.48,229,89,124,246,28,110.0
17,zeebe,0.74,0.78,0.71,172,50,45,54,39,1238.0
18,RSSHub,0.83,0.82,0.82,265,38,4,394,2,23.0
19,loopback-next,0.85,0.84,0.83,129,81,10,138,20,846.0
20,renovate,0.64,0.62,0.59,654,177,325,354,50,169.0
21,angular-cli,0.71,0.65,0.64,528,89,357,134,186,
22,deno,0.68,0.65,0.63,184,52,65,82,13,90.0
23,ng-bootstrap,0.63,0.48,0.45,112,67,26,64,64,66.0
24,serverless,0.75,0.75,0.75,125,33,150,63,39,69.0
25,vuetify,0.78,0.77,0.77,291,1056,44,71,11,225.0
26,camunda-bpm-platform,0.69,0.67,0.68,608,6,9,501,134,1726.0
27,node-mongodb-native,0.67,0.64,0.63,176,38,130,42,137,105.0
28,components,0.76,0.7,0.67,775,236,221,251,68,77.0
29,js-ipfs,0.74,0.69,0.7,153,115,37,87,24,598.0
30,goreleaser,0.75,0.72,0.72,105,104,9,79,8,57.0
31,pnpm,0.72,0.65,0.67,493,68,124,134,135,467.0
32,vue-cli,0.73,0.73,0.72,234,124,31,85,33,153.0
33,axe-core,0.72,0.7,0.68,129,32,31,67,1,68.0
34,verdaccio,0.66,0.57,0.55,72,9,28,58,5,245.0
35,webiny-js,0.71,0.71,0.69,1023,2,86,398,105,368.0
36,vant,0.83,0.81,0.81,145,262,2,136,106,264.0
37,chakra-ui,0.57,0.5,0.46,230,243,39,135,22,326.0
38,G2,0.64,0.6,0.56,170,73,29,108,18,113.0
39,rxjs,0.64,0.64,0.63,165,165,270,53,50,242.0
40,super-productivity,0.64,0.68,0.65,313,55,172,752,92,70.0
41,electron-builder,0.66,0.65,0.63,246,27,2,111,14,84.0
42,serenity-js,0.61,0.61,0.57,74,52,10,28,42,72.0
43,reaction,0.59,0.57,0.57,209,28,461,268,225,247.0
44,stryker,0.54,0.54,0.5,62,32,22,84,36,46.0
45,lerna,0.69,0.67,0.65,57,25,45,99,38,98.0
46,influxdb,0.61,0.59,0.57,455,16,70,381,51,333.0
47,superset,0.72,0.68,0.67,203,12,28,129,56,98.0
48,Semantic-UI-React,0.73,0.71,0.71,139,154,3,44,5,99.0
49,karma,0.66,0.56,0.55,138,23,81,34,3,103.0
50,fxa,0.63,0.64,0.6,1019,24,151,546,33,420.0
51,jina,0.67,0.65,0.65,207,128,115,120,84,176.0
52,material,0.67,0.68,0.64,454,167,24,84,7,91.0
53,taro,0.65,0.61,0.61,754,34,103,204,21,328.0
