,name,precision,recall,fscore,chore_total,docs_total,feat_total,fix_total,refactor_total,test_total,chore_train,docs_train,feat_train,fix_train,refactor_train,test_train,chore_test,docs_test,feat_test,fix_test,refactor_test,test_test
0,sequelize,0.66804801546017,0.6689655172413793,0.6444354083170873,156,335,184,603,114,59,153,250,162,487,73,36,3,85,22,116,41,23
1,ionic-framework,0.7555131444950794,0.7634961439588689,0.7509834317027972,1759,1300,716,2820,665,520,1504,1091,557,1999,614,459,255,209,159,821,51,61
2,element3,0.5444600808304615,0.5151515151515151,0.5048195456781724,387,195,57,337,244,98,310,193,49,277,151,74,77,2,8,60,93,24
3,vite,0.6583976346318746,0.6539509536784741,0.6505012804354917,381,184,300,757,152,63,314,121,258,589,134,54,67,63,42,168,18,9
4,vee-validate,0.7796081765784462,0.7723076923076924,0.7716467972403548,449,446,273,263,123,71,313,370,223,219,111,64,136,76,50,44,12,7
5,stencil,0.6229050659857781,0.6157303370786517,0.5775339534926048,1165,123,590,1771,322,481,919,92,433,1415,294,409,246,31,157,356,28,72
6,pgjdbc,0.7417638261121723,0.71900826446281,0.7058155730938324,108,73,53,224,60,85,73,62,47,179,55,66,35,11,6,45,5,19
7,ant-design,0.7830451185300932,0.7875125881168177,0.7754402184783697,635,1603,591,1653,238,246,482,1280,493,1352,185,181,153,323,98,301,53,65
8,rest.js,0.6775762097027341,0.640625,0.6558334130674831,100,238,121,206,76,219,99,181,86,158,64,180,1,57,35,48,12,39
9,gatsby,0.6605017274705844,0.6520958083832336,0.6516313132406168,3898,869,1090,2307,104,80,3133,776,884,1734,87,64,765,93,206,573,17,16
10,instantsearch.js,0.6335147613883577,0.6666666666666666,0.6461725379657121,804,380,433,606,65,95,664,359,296,472,39,76,140,21,137,134,26,19
11,commitlint,0.7220815075119102,0.631578947368421,0.5957242603975252,304,183,81,180,54,53,262,147,67,149,37,22,42,36,14,31,17,31
12,aks-engine,0.7569106321207897,0.7437070938215103,0.7466116678790173,604,185,456,542,84,315,454,150,356,460,80,249,150,35,100,82,4,66
13,angular,0.7267743624328862,0.697494587070832,0.6800223768314444,1098,3766,2394,5065,2698,1146,1097,2758,2081,4136,1994,868,1,1008,313,929,704,278
14,angular.js,0.784232464284538,0.7726957726957727,0.7443370377058539,1238,2938,587,1779,385,288,921,2386,486,1490,279,210,317,552,101,289,106,78
15,vue-test-utils,0.7351116750481158,0.6682692307692307,0.6763502027806555,117,418,121,238,78,70,62,345,98,192,74,63,55,73,23,46,4,7
16,material-components-web,0.6308392163876929,0.5234493192133132,0.4783759007216093,692,649,690,912,212,150,612,586,495,729,97,125,80,63,195,183,115,25
17,zeebe,0.7132623302331162,0.7676056338028169,0.6955136745777861,4241,236,714,745,85,371,3258,205,673,598,40,340,983,31,41,147,45,31
18,RSSHub,0.8364336314758724,0.8313253012048193,0.8307971502028968,94,376,1398,907,50,79,72,343,1085,698,46,79,22,33,313,209,4,0
19,loopback-next,0.8499977479220094,0.8467824310520939,0.8446281303081813,2540,513,831,764,144,104,1836,455,728,670,135,93,704,58,103,94,9,11
20,renovate,0.6907306420225452,0.6796818510484454,0.6606211288372645,1034,444,1215,2982,1113,128,902,274,925,2465,866,101,132,170,290,517,247,27
21,angular-cli,0.7109372459509677,0.6193236714975845,0.6073756196333199,359,498,906,2133,773,508,359,427,792,1773,449,342,0,71,114,360,324,166
22,deno,0.6902452656604404,0.6606683804627249,0.6441857796328796,187,218,412,722,324,82,111,177,346,578,273,71,76,41,66,144,51,11
23,ng-bootstrap,0.671384459252941,0.47962382445141066,0.4663880488222573,439,176,309,410,143,119,407,115,254,316,124,61,32,61,55,94,19,58
24,serverless,0.7573724507797613,0.7571801566579635,0.7563464594592089,331,249,252,428,433,224,276,228,207,330,302,191,55,21,45,98,131,33
25,vuetify,0.7860731290576422,0.7689477557027226,0.771153651889567,837,2556,523,2177,501,199,675,1666,479,1945,472,197,162,890,44,232,29,2
26,camunda-bpm-platform,0.6924612023016123,0.6750418760469011,0.6786518087929632,5180,58,2201,3471,294,734,3785,55,1813,2981,289,627,1395,3,388,490,5,107
27,node-mongodb-native,0.6590096365772068,0.6075697211155379,0.6000019454791451,306,191,223,521,585,686,212,165,185,371,485,592,94,26,38,150,100,94
28,components,0.7540210865852923,0.6830391404451266,0.6528043581543814,1125,761,943,3001,537,146,1077,567,746,2382,354,84,48,194,197,619,183,62
29,js-ipfs,0.7686764401086252,0.7237977805178791,0.7258679411837471,2192,403,461,702,107,192,1741,298,391,568,75,173,451,105,70,134,32,19
30,goreleaser,0.793094916481849,0.7612456747404844,0.7492687205563435,194,318,275,473,76,111,149,242,207,390,67,103,45,76,68,83,9,8
31,pnpm,0.7098204025702938,0.6411609498680739,0.6539246054675238,2099,249,747,1691,545,353,1713,185,650,1288,478,233,386,64,97,403,67,120
32,vue-cli,0.7186751359290442,0.7196969696969697,0.7075873812710488,553,381,478,950,135,143,443,276,412,751,108,122,110,105,66,199,27,21
33,axe-core,0.6488458916408837,0.6844106463878327,0.6433425847994733,318,119,225,527,59,66,257,90,176,427,36,65,61,29,49,100,23,1
34,verdaccio,0.5898279423662179,0.5645645645645646,0.5477430245897162,690,131,132,318,312,84,492,125,85,264,288,80,198,6,47,54,24,4
35,webiny-js,0.7026208586466605,0.7104100946372239,0.6900452731244747,1520,60,1460,3906,510,471,1170,58,1187,3094,452,381,350,2,273,812,58,90
36,vant,0.8401567679373629,0.8278688524590164,0.8303207157614245,905,839,904,763,105,145,689,608,794,649,103,86,216,231,110,114,2,59
37,chakra-ui,0.4864442137398446,0.5125628140703518,0.4625863635574079,1745,742,344,764,253,132,1502,538,224,582,220,118,243,204,120,182,33,14
38,G2,0.6852043544218471,0.6528117359413202,0.6404176818050478,461,94,494,743,143,110,378,42,409,596,116,95,83,52,85,147,27,15
39,rxjs,0.6781415709691638,0.6375661375661376,0.6404920199156338,852,667,405,671,675,509,640,583,365,545,412,478,212,84,40,126,263,31
40,super-productivity,0.7257710415965658,0.7171109200343938,0.7010046955215097,391,99,3393,1206,626,101,341,46,2770,952,500,44,50,53,623,254,126,57
41,electron-builder,0.6764879593676034,0.6511627906976745,0.6284275279626258,151,173,567,872,98,74,73,160,478,675,98,64,78,13,89,197,0,10
42,serenity-js,0.637542403153889,0.5945945945945946,0.5572127050439447,306,217,175,274,56,83,245,172,158,221,49,44,61,45,17,53,7,39
43,reaction,0.5875079225303216,0.5791304347826087,0.5765467358464618,811,180,1299,1399,1590,473,605,153,1062,1237,1275,270,206,27,237,162,315,203
44,stryker,0.5212029810000183,0.5442477876106194,0.5094572773376851,228,102,330,261,91,116,195,73,262,205,73,94,33,29,68,56,18,22
45,lerna,0.7180121961642674,0.6758620689655173,0.6685816224669219,441,86,265,356,177,125,368,69,169,316,135,103,73,17,96,40,42,22
46,influxdb,0.6236061937069483,0.6019138755980862,0.5815107494074122,1028,81,1543,2028,361,184,754,70,1247,1651,305,153,274,11,296,377,56,31
47,superset,0.7375166445771238,0.719047619047619,0.7076702848571986,358,141,482,881,134,106,271,135,384,714,113,65,87,6,98,167,21,41
48,Semantic-UI-React,0.7409943372817984,0.7162921348314607,0.7179250211852857,313,550,252,529,66,68,238,416,219,418,66,65,75,134,33,111,0,3
49,karma,0.6429440945350138,0.6045751633986928,0.6129236433977944,554,177,207,381,128,81,463,159,176,266,79,79,91,18,31,115,49,2
50,fxa,0.6381840441565638,0.6562143671607754,0.6227020962065349,1633,51,1968,4358,710,51,1314,29,1512,3557,587,18,319,22,456,801,123,33
51,jina,0.6729807997353017,0.6430722891566265,0.6502536396019384,461,465,649,971,474,298,307,376,554,802,382,233,154,89,95,169,92,65
52,material,0.6821660581918866,0.6858006042296072,0.649135423706057,318,489,389,1892,149,71,244,344,329,1537,127,65,74,145,60,355,22,6
53,taro,0.7046885640096061,0.6303030303030303,0.6491645332073915,997,479,1253,2611,308,129,711,453,1106,1977,257,118,286,26,147,634,51,11
