,name,precision,recall,fscore,chore_total,docs_total,feat_total,fix_total,refactor_total,test_total,chore_test,docs_test,feat_test,fix_test,refactor_test,test_test
0,sequelize,0.7365805674776877,0.7139903514817367,0.7195429247730152,156,335,184,603,114,59,156,335,184,603,114,59
1,ionic-framework,0.6461835806946399,0.617866323907455,0.6094237100103511,1759,1300,716,2820,665,520,1759,1300,716,2820,665,520
2,element3,0.5533500322831186,0.4666160849772382,0.44976802549507666,387,195,57,337,244,98,387,195,57,337,244,98
3,vite,0.7255104099796789,0.7114861186717474,0.6898553535961907,381,184,300,757,152,63,381,184,300,757,152,63
4,vee-validate,0.7536039901345598,0.7255384615384616,0.7230611757890082,449,446,273,263,123,71,449,446,273,263,123,71
5,stencil,0.5898598537123927,0.5819856244384546,0.570461712218506,1165,123,590,1771,322,481,1165,123,590,1771,322,481
6,pgjdbc,0.6975600148473539,0.5190713101160862,0.5012547985287611,108,73,53,224,60,85,108,73,53,224,60,85
7,ant-design,0.7312828810506611,0.7247281514297221,0.7217067700206468,635,1603,591,1653,238,246,635,1603,591,1653,238,246
8,rest.js,0.6537119304306803,0.565625,0.5759309195948537,100,238,121,206,76,219,100,238,121,206,76,219
9,gatsby,0.7166584057920297,0.6430282702443699,0.6608638293302422,3898,869,1090,2307,104,80,3898,869,1090,2307,104,80
10,instantsearch.js,0.6515662578121868,0.6076374318086446,0.6084112658683247,804,380,433,606,65,95,804,380,433,606,65,95
11,commitlint,0.7500982343539928,0.7204678362573099,0.7207473576807553,304,183,81,180,54,53,304,183,81,180,54,53
12,aks-engine,0.6332664476597752,0.596523330283623,0.5879824192187978,604,185,456,542,84,315,604,185,456,542,84,315
13,angular,0.643800231838832,0.5939877528298385,0.5744575455862843,1098,3766,2394,5065,2698,1146,1098,3766,2394,5065,2698,1146
14,angular.js,0.6879179113983542,0.5512127512127513,0.5512723684909104,1238,2938,587,1779,385,288,1238,2938,587,1779,385,288
15,vue-test-utils,0.7166341058885971,0.6852207293666027,0.6920052973008077,117,418,121,238,78,70,117,418,121,238,78,70
16,material-components-web,0.6644717986956861,0.6544629349470499,0.6477247809917376,692,649,690,912,212,150,692,649,690,912,212,150
17,zeebe,0.6856980142333421,0.5442740926157698,0.5732227389151741,4241,236,714,745,85,371,4241,236,714,745,85,371
18,RSSHub,0.7860460812834456,0.7537878787878788,0.7642624581292277,94,376,1398,907,50,79,94,376,1398,907,50,79
19,loopback-next,0.7089082430291166,0.6247957516339869,0.6480312240474941,2540,513,831,764,144,104,2540,513,831,764,144,104
20,renovate,0.6376259272272049,0.6405436668594563,0.6182234182681727,1034,444,1215,2982,1113,128,1034,444,1215,2982,1113,128
21,angular-cli,0.6602789793129668,0.620436546262314,0.6170781144909239,359,498,906,2133,773,508,359,498,906,2133,773,508
22,deno,0.680595603164786,0.6699228791773779,0.6601095554575414,187,218,412,722,324,82,187,218,412,722,324,82
23,ng-bootstrap,0.617261483363599,0.568295739348371,0.5477517941405614,439,176,309,410,143,119,439,176,309,410,143,119
24,serverless,0.7450996884280638,0.6765779864371414,0.6566712550470242,331,249,252,428,433,224,331,249,252,428,433,224
25,vuetify,0.6527734787701467,0.572501104077727,0.5414674023217437,837,2556,523,2177,501,199,837,2556,523,2177,501,199
26,camunda-bpm-platform,0.5913410770861233,0.5848550846037862,0.5755467326157677,5180,58,2201,3471,294,734,5180,58,2201,3471,294,734
27,node-mongodb-native,0.6680418305682366,0.5812101910828026,0.5636899066355469,306,191,223,521,585,686,306,191,223,521,585,686
28,components,0.6999265998987781,0.6904652233993551,0.6700943182345748,1125,761,943,3001,537,146,1125,761,943,3001,537,146
29,js-ipfs,0.7211691286477586,0.6936159723933941,0.7002152406054583,2192,403,461,702,107,192,2192,403,461,702,107,192
30,goreleaser,0.6874812035747264,0.6288873531444368,0.6354037363058962,194,318,275,473,76,111,194,318,275,473,76,111
31,pnpm,0.6775431076378303,0.6805066854327938,0.6632502569362105,2099,249,747,1691,545,353,2099,249,747,1691,545,353
32,vue-cli,0.6564467410219448,0.6496212121212122,0.6361334100956305,553,381,478,950,135,143,553,381,478,950,135,143
33,axe-core,0.6949727882769663,0.6993911719939118,0.6941450466042743,318,119,225,527,59,66,318,119,225,527,59,66
34,verdaccio,0.6074128454007807,0.5608878224355129,0.5438230758392205,690,131,132,318,312,84,690,131,132,318,312,84
35,webiny-js,0.5973927884899134,0.5574618392834616,0.5675613166585283,1520,60,1460,3906,510,471,1520,60,1460,3906,510,471
36,vant,0.7603040249968984,0.7369571155422016,0.7406556605460941,905,839,904,763,105,145,905,839,904,763,105,145
37,chakra-ui,0.5554618691936768,0.46080402010050253,0.45610480956458704,1745,742,344,764,253,132,1745,742,344,764,253,132
38,G2,0.6481326995521492,0.6234718826405868,0.6154185016935767,461,94,494,743,143,110,461,94,494,743,143,110
39,rxjs,0.673232147103623,0.6001587721619476,0.6025087895941451,852,667,405,671,675,509,852,667,405,671,675,509
40,super-productivity,0.7091868845457177,0.4522008253094911,0.4400000913544323,391,99,3393,1206,626,101,391,99,3393,1206,626,101
41,electron-builder,0.6588261345315103,0.6248062015503876,0.6307116616184131,151,173,567,872,98,74,151,173,567,872,98,74
42,serenity-js,0.5910362336872073,0.5823582358235824,0.5676072740370254,306,217,175,274,56,83,306,217,175,274,56,83
43,reaction,0.5645000679271107,0.4897426981919332,0.4598828440273361,811,180,1299,1399,1590,473,811,180,1299,1399,1590,473
44,stryker,0.6240485268902275,0.6134751773049646,0.6106839617620504,228,102,330,261,91,116,228,102,330,261,91,116
45,lerna,0.6097519937568339,0.616551724137931,0.5996540191319994,441,86,265,356,177,125,441,86,265,356,177,125
46,influxdb,0.600071755631188,0.5843062200956938,0.5850525286915962,1028,81,1543,2028,361,184,1028,81,1543,2028,361,184
47,superset,0.6393298518794935,0.6531874405328258,0.6408015554467554,358,141,482,881,134,106,358,141,482,881,134,106
48,Semantic-UI-React,0.6852667530271087,0.6422947131608548,0.6397408306589271,313,550,252,529,66,68,313,550,252,529,66,68
49,karma,0.7175044660632555,0.7087696335078534,0.7009121202451915,554,177,207,381,128,81,554,177,207,381,128,81
50,fxa,0.6136191384097235,0.547258009348991,0.5696381279319526,1633,51,1968,4358,710,51,1633,51,1968,4358,710,51
51,jina,0.5881259667113494,0.5319469559975889,0.5218898052215826,461,465,649,971,474,298,461,465,649,971,474,298
52,material,0.6938099004984813,0.7034461910519951,0.6863449922613468,318,489,389,1892,149,71,318,489,389,1892,149,71
53,taro,0.6163711912746059,0.6146788990825688,0.6075425589688527,997,479,1253,2611,308,129,997,479,1253,2611,308,129
