,name,language
0,gatsby,JavaScript
1,ant-design,TypeScript
2,angular,TypeScript
3,angular-cli,TypeScript
4,serverless,JavaScript
5,vue-cli,JavaScript
6,deno,TypeScript
7,components,TypeScript
8,vuetify,TypeScript
9,renovate,TypeScript
10,sequelize,JavaScript
11,influxdb,Go
12,taro,JavaScript
13,karma,JavaScript
14,material,JavaScript
15,rxjs,TypeScript
16,electron-builder,TypeScript
17,fxa,JavaScript
18,reaction,JavaScript
19,superset,Python
20,goreleaser,Go
21,chakra-ui,TypeScript
22,zeebe,Java
23,rest.js,JavaScript
24,element3,JavaScript
25,stencil,TypeScript
26,loopback-next,TypeScript
27,vant,JavaScript
28,aks-engine,Go
29,pgjdbc,Java
30,js-ipfs,JavaScript
31,node-mongodb-native,JavaScript
32,camunda-bpm-platform,Java
33,angular.js,JavaScript
34,pnpm,TypeScript
35,vue-test-utils,JavaScript
36,vee-validate,TypeScript
37,jina,Python
38,material-components-web,TypeScript
39,verdaccio,TypeScript
40,ng-bootstrap,TypeScript
41,axe-core,JavaScript
42,RSSHub,JavaScript
43,instantsearch.js,TypeScript
44,commitlint,TypeScript
45,ionic-framework,TypeScript
46,vite,TypeScript
47,Semantic-UI-React,JavaScript
48,super-productivity,TypeScript
49,G2,TypeScript
50,serenity-js,TypeScript
51,webiny-js,TypeScript
52,lerna,JavaScript
53,stryker,TypeScript
